total_cup_points,species,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
82.17,Arabica,langiro farm group,"Tanzania, United Republic Of",langiro farm group,,mbinga,CA058,tawoca,1500-1800,ruvuma,Langiro farm group,30,80 kg,Africa Fine Coffee Association,2015,"November 16th, 2015",Langiro Farm group,Bourbon,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,7.5,0.13,1,0.0,Green,6,"November 15th, 2016",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1500.0,1800.0,1650.0
81.75,Arabica,enrique eduardo lopez aguilar,Mexico,santa cruz - pante doña graciela,,,PCO-031106-CF7,finca las nubes,1650,la concordia,GRACIELA AGUILAR PERALTA,28,1 kg,AMECAFE,2012,"June 6th, 2012",Enrique Eduardo Lopez Aguilar,Typica,Washed / Wet,7.5,7.42,7.25,7.33,7.67,7.25,10.0,10.0,10.0,7.33,0.12,0,0.0,,1,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1650.0,1650.0,1650.0
82.33,Arabica,pedro santos e silva,Brazil,fazenda são pedro,0063/17,alfenas,,olam,982,cerrado,Tulio Taft Bovaretto,320,2 kg,Brazil Specialty Coffee Association,2016,"February 9th, 2017",Pedro Santos e Silva,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,7.67,0.11,0,3.0,Green,11,"February 9th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,982.0,982.0,982.0
78.42,Arabica,israel eduardo paz garcia,Mexico,el naranjo,,"zaragoza itundujia, oaxaca",0,cafeorganico.mx,1500,zaragoza itundujia,LAMBERTO JOSÉ GARCÍA,10,1 kg,AMECAFE,2012,"September 14th, 2012",ISRAEL EDUARDO PAZ GARCIA,Typica,Washed / Wet,7.58,7.17,7.0,7.17,7.33,7.0,8.0,10.0,10.0,7.17,0.14,0,0.0,None,0,"September 14th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1500.0,1500.0,1500.0
80.17,Robusta,andrew hetzel,India,sethuraman estates,,sethuraman estates,,"cafemakers, llc",750m,chikmagalur,Nishant Gurjer,250,2 kg,Specialty Coffee Association,2013,"June 20th, 2013",Andrew Hetzel,,Natural / Dry,7.58,7.42,7.42,7.83,7.42,7.5,10.0,10.0,7.42,7.58,0.0,0,0.0,Green,0,"June 20th, 2014",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,750.0,750.0,750.0
88.67,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010/0338,,1570-1700,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,0.03,0,0.0,,0,"September 2nd, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,1570.0,1700.0,1635.0
82.42,Arabica,jesus salazar velasco,Mexico,pante san pedro,,"san pedro cotzilnam, municipio de aldama, chiapas",0,carajillo café sa de cv,1400,san pedro cotzilnam,VICTOR MANUEL LOPEZ VAZQUEZ,20,1 kg,AMECAFE,2012,"September 11th, 2012",JESUS SALAZAR VELASCO,Typica,Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.42,0.13,0,0.0,Green,2,"September 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1400.0,1400.0,1400.0
82.5,Arabica,enrique mitre lopez,Mexico,caltuchoco,,"zapotitlan de mendez, puebla",1206966823,cafe de la sierra norte de puebla,1100,zapotitlan de mendez,ENRIQUE MITRE LOPEZ,10,1 kg,AMECAFE,2012,"July 26th, 2012",ENRIQUE MITRE LOPEZ,Typica,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.5,0.12,0,0.0,Green,5,"July 26th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1100.0,1100.0,1100.0
80.75,Arabica,essencecoffee,Panama,elida estate,,elida estate,290503,essence coffee,1680m,boquete,Lamastus,100,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Other,7.25,7.33,7.17,7.33,7.33,7.17,10.0,10.0,10.0,7.17,0.11,1,0.0,Green,4,"May 22nd, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1680.0,1680.0,1680.0
83.5,Arabica,damari absalome,"Tanzania, United Republic Of",ano family,,arusha,CA007,tawoca,1400m,nkure- meru,Mr & Mrs Damari Absalome,5,60 kg,Africa Fine Coffee Association,2015,"November 16th, 2015",Damari Absalome,Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,0.13,0,0.0,Green,21,"November 15th, 2016",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1400.0,1400.0,1400.0
83.67,Arabica,the coffee source inc.,Guatemala,finca quequesquez,,finca quequesquez,11-183-22,the coffee source inc.,1450,oriente,Finca Quequesquez,250,1 kg,Specialty Coffee Association,2012,"August 23rd, 2012",The Coffee Source Inc.,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,0.11,0,0.0,Green,1,"August 23rd, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1450.0,1450.0,1450.0
81.0,Arabica,juan luis alvarado romero,Guatemala,chapultepec,11/23/0506,beneficio ixchel,11/23/0506,"unex guatemala, s.a.",3280,norte,CHAPULTEPEC,120,69 kg,Asociacion Nacional Del Café,2016,"August 2nd, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.25,7.17,7.5,7.25,7.17,10.0,10.0,10.0,7.25,0.09,0,0.0,Green,8,"August 2nd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,3280.0,3280.0,3280.0
80.83,Arabica,cqi taiwan icp cqi台灣合作夥伴,Laos,savan coffee bean,201601,none,,宸嶧國際,1300,"paksong,laos","Paksong,Laos",20,50 kg,Blossom Valley International,2016,"June 22nd, 2017",CQI Taiwan ICP CQI台灣合作夥伴,Catimor,Washed / Wet,7.42,7.33,7.17,7.17,7.17,7.25,10.0,10.0,10.0,7.33,0.0,0,0.0,Green,0,"June 22nd, 2018",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1300.0,1300.0,1300.0
81.42,Arabica,juan luis alvarado romero,Guatemala,la union monte verde,,beneficio ixchel,11/9772/3,"unex guatemala, s.a.",4300,oriente,OTTO BECKER,250,69 kg,Asociacion Nacional Del Café,2013,"October 7th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.5,10.0,10.0,10.0,7.08,0.12,0,0.0,Green,4,"October 7th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
83.92,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,0.0,0,0.0,Green,3,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890.0,890.0,890.0
80.67,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora agricola,14-3-79-1034,ecom cca sa,1550,santander,,250,70 kg,Almacafé,2014,"April 14th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.5,7.42,7.67,7.5,7.75,10.0,10.0,6.67,8.5,0.0,0,0.0,,1,"April 14th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550.0,1550.0,1550.0
83.5,Arabica,felipe isaza,Guatemala,conquista / morito,,beneficio ixchel,11/23/0237,coffee resources inc.,4600 ft.,oriente,ConquistaMorito,250,2 kg,Specialty Coffee Association,2012,"February 1st, 2012",Felipe Isaza,Bourbon,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,0.0,3,0.0,Green,12,"January 31st, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1402.08,1402.08,1402.08
81.25,Arabica,essencecoffee,Guatemala,el injerto s.a.,,el injerto s.a.,11999144,essence coffee,1700m,huehuetenango,El Injerto S.A.,36,55 lbs,Blossom Valley International,2014,"March 21st, 2015",EssenceCoffee,Pacamara,Washed / Wet,7.33,7.42,7.17,7.25,7.42,7.33,10.0,10.0,10.0,7.33,0.09,0,0.0,Bluish-Green,2,"March 20th, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1700.0,1700.0,1700.0
82.25,Arabica,juan luis alvarado romero,Guatemala,finca medina,,finca medina,11-11711-19,"siembras vision, s.a. / ing. jorge bolaños",4563,antigua,"SIEMBRAS VISION, S.A.",275,69 kg,Asociacion Nacional Del Café,2012,"September 19th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10.0,10.0,10.0,7.33,0.11,0,0.0,Green,2,"September 19th, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1390.8024,1390.8024,1390.8024
84.67,Arabica,benjamin schmerler,Peru,,,,,,,"penachi, cecanor",CECANOR,1,60 kg,Specialty Coffee Association,,"June 14th, 2011",Benjamin Schmerler,,,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,0.0,0,0.0,,3,"June 13th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,,,
83.0,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0170,c.i.racafe & cia s.c.a,1600 - 1950 msnm,la plata,LA PLATA,121,1 kg,Almacafé,2011,"December 2nd, 2011",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,10.0,7.5,0.12,0,0.0,Bluish-Green,0,"December 1st, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0
78.75,Arabica,juan luis alvarado romero,Guatemala,la castellana,,beneficio ixchel,11/23/1020,"unex guatemala, s.a.",4300,oriente,AGRIPEC DE LA VEGA Y CIA.,250,69 kg,Asociacion Nacional Del Café,2013,"July 5th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.33,7.08,6.33,7.25,7.0,7.0,10.0,10.0,10.0,6.75,0.12,1,0.0,Green,8,"July 5th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
80.42,Arabica,cadexsa,Honduras,bethel,115,only dry mill,13-63-60,cadexsa,1450,marcala,Jose Omar Acosta,275,69 kg,Instituto Hondureño del Café,2016,"February 3rd, 2016",CADEXSA,,,7.25,7.42,7.0,7.42,7.33,7.0,10.0,10.0,10.0,7.0,0.1,0,0.0,Green,0,"February 2nd, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1450.0,1450.0,1450.0
81.42,Arabica,cadexsa,Honduras,cerro bueno,,cadexsa,13-63-204,cadexsa,1400 msnm,marcala,Jose Omar Acosta,275,1 kg,Instituto Hondureño del Café,2015,"May 12th, 2015",CADEXSA,Catuai,Washed / Wet,7.5,7.33,7.17,7.25,7.5,7.42,10.0,10.0,10.0,7.25,0.12,0,0.0,Green,1,"May 11th, 2016",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1400.0,1400.0,1400.0
75.58,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,,beneficio ixchel,11/23/0768,"unex guatemala, s.a.",4300,oriente,AGROPECUARIA QUIAGRAL,250,1 kg,Asociacion Nacional Del Café,2012,"July 9th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,7.58,7.17,7.58,7.33,7.17,8.0,8.0,8.0,6.83,0.11,0,0.0,Green,15,"July 9th, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
83.17,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.75,0.11,0,0.0,Green,4,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890.0,890.0,890.0
83.0,Arabica,grounds for health admin,Nicaragua,santa rosa,,beneficio atlantic sebaco,1-053-0222,,,matagalpa,Juan AugustinPalacio,2,6,Specialty Coffee Association,2009-2010,"May 31st, 2010",Grounds for Health Admin,Caturra,,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,0.07,0,0.0,,0,"May 31st, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,,,
81.5,Arabica,juan luis alvarado romero,Guatemala,las delicias,11/23/0688,beneficio ixchel,11/23/0688,"unex guatemala, s.a.",4000,santa rosa,OTTO BECKER,50,69 kg,Asociacion Nacional Del Café,2017,"August 23rd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,10.0,7.58,0.1,0,0.0,Green,0,"August 23rd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
84.17,Arabica,juan luis alvarado romero,Guatemala,la union monte verde,,beneficio ixchel,11/9772/2,"unex guatemala, s.a.",4300,oriente,"AGRICOLA MONTE VERDE, S.A.",250,69 kg,Asociacion Nacional Del Café,2013,"May 9th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,0.11,0,0.0,Green,4,"May 9th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
81.75,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0059,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2011,"December 22nd, 2011",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.17,0.0,0,0.0,Green,1,"December 21st, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750.0,1750.0,1750.0
84.17,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0019,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2012,"October 19th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,0.0,0,0.0,Green,2,"October 19th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750.0,1750.0,1750.0
79.67,Arabica,alfredo bojalil,Mexico,consolapa,,,1104363350,ecomtrading,1264,"coatepec, coatepec",CECILIA AVILA CAMBEROS,253,1 kg,AMECAFE,2012,"June 4th, 2012",ALFREDO BOJALIL,Mundo Novo,Washed / Wet,6.92,7.17,7.17,7.17,7.08,7.08,10.0,10.0,10.0,7.08,0.0,0,0.0,,9,"June 4th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1264.0,1264.0,1264.0
84.17,Arabica,wayner jimenez,Costa Rica,los girasoles,EC-1180,los angeles micro-mill,5-818-0450,exclusive coffee - costa rica,1700,tarrazu,Los Angeles Micro-Mill (Ricardo Calderón),150,69 kg,Specialty Coffee Association of Costa Rica,2016,"August 19th, 2016",Wayner Jimenez,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,0.09,0,0.0,Bluish-Green,2,"August 19th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1700.0,1700.0,1700.0
85.33,Arabica,rashid moledina & co. (msa) ltd.,Kenya,,,,37/672/0017,rashid moledina & co. (msa) ltd,above 1600 m,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,20,60 kg,Kenya Coffee Traders Association,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,0.0,0,0.0,Green,2,"April 19th, 2014",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1600.0,1600.0,1600.0
84.58,Arabica,juan luis alvarado romero,Guatemala,el morito,,el morito,11/972/26,"armajaro guatemala, s. a.",5000 ft.,jalapa,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2014,"May 29th, 2014",Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,0.11,0,0.0,Green,1,"May 29th, 2015",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524.0,1524.0,1524.0
82.25,Arabica,juan luis alvarado romero,Guatemala,linda vista,11/973/158,beneficio humedo,11/973/158,mercon guatemala s.a.,1450,nuevo oriente,PABLO CHUY,275,69 kg,Asociacion Nacional Del Café,2016,"August 31st, 2016",Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,7.33,0.11,0,2.0,Green,2,"August 31st, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1450.0,1450.0,1450.0
82.5,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0582,c.i.racafe & cia s.c.a,de 1.600 a 1.950 msnm,huila,LA PLATA,275,70 kg,Almacafé,2012,"March 5th, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.5,7.33,7.5,7.25,7.67,10.0,10.0,10.0,7.58,0.11,1,0.0,Green,3,"March 5th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0
80.75,Arabica,bourbon specialty coffees,Brazil,castelhana farm,,,002/4542/0021,bourbon specialty coffees,,monte carmelo,DIOGO TUDELA NETO,320,60 kg,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",BOURBON SPECIALTY COFFEES,,Natural / Dry,7.17,7.25,7.08,7.17,7.25,7.58,10.0,10.0,10.0,7.25,0.0,0,0.0,Green,1,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,,,
81.67,Arabica,tembo coffee company ltd,"Tanzania, United Republic Of",ilomba 1,,tembo coffee company ltd,C39,tembo coffee company ltd,1700,"ilomba vilage, mbozi",Tembo Coffee Company Ltd,10,60 kg,Africa Fine Coffee Association,2013,"December 15th, 2014",Tembo Coffee Company Ltd,Other,Washed / Wet,7.33,7.33,7.5,7.25,7.42,7.33,10.0,10.0,10.0,7.5,0.12,0,0.0,Green,7,"December 15th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1700.0,1700.0,1700.0
78.08,Robusta,luis robles,Ecuador,robustasa,Lavado 3,own laboratory,,robustasa,40,"san juan, playas",Café Robusta del Ecuador S.A.,1,2 kg,Specialty Coffee Association,2016,"January 19th, 2016",Luis Robles,,,7.5,7.67,7.75,7.75,5.17,5.25,10.0,10.0,8.42,8.58,0.0,0,0.0,Blue-Green,0,"January 18th, 2017",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,40.0,40.0,40.0
84.67,Arabica,eric thormaehlen,Costa Rica,various,,coricafe sa,5-0048-0052,coricafe s.a.,1200,west valley,CORICAFE BLEND,275,1 kg,Specialty Coffee Association of Costa Rica,2014,"March 5th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,0.11,0,0.0,Green,4,"March 5th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1200.0,1200.0,1200.0
67.92,Arabica,myriam kaplan-pasternak,Haiti,200 farms,,coeb koperativ ekselsyo basen (350 members),,haiti coffee,~350m,"department d'artibonite , haiti",COEB Koperativ Ekselsyo Basen,1,2 kg,Specialty Coffee Association,2012,"May 24th, 2012",Myriam Kaplan-Pasternak,Typica,Natural / Dry,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6.0,6.0,6.42,0.14,8,0.0,Blue-Green,16,"May 24th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,350.0,350.0,350.0
83.33,Arabica,itiah coffee llc,Haiti,marre blanche,,,,itiah coffee llc.,4200 feet,"thiotte, haiti",COOPCAB,2,4 lbs,Specialty Coffee Association,2012,"October 3rd, 2013",ITIAH COFFEE LLC,Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,0.11,0,0.0,Green,4,"October 3rd, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1280.16,1280.16,1280.16
80.92,Arabica,doi tung development project,Thailand,doi tung development project,,,,,,,Doi Tung Development Project,3,1 lbs,Specialty Coffee Association,,"April 13th, 2010",Doi Tung Development Project,Peaberry,,7.67,7.58,7.33,7.33,7.17,7.0,10.0,10.0,10.0,6.83,0.0,0,0.0,,0,"April 13th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,,,
83.0,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,雅慕伊,,雅慕伊,Taiwan台灣,宸嶧國際,1200,嘉義阿里山,雅慕伊,10,60 kg,Blossom Valley International,2014,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.92,7.92,7.83,7.58,7.33,7.25,10.0,10.0,10.0,7.17,0.08,0,0.0,Green,0,"November 23rd, 2015",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1200.0,1200.0,1200.0
80.58,Arabica,"exportadora atlantic, s.a.",Nicaragua,los saltarines,017-053-0046,exportadora atlantic sa - pp condega,017-053-0046,exportadora atlantic s.a,,nueva segovia,ADONIS JOSE ORTEZ BELTRAN,275,69 kg,Instituto Hondureño del Café,2016,"February 26th, 2016","Exportadora Atlantic, S.A.",,,7.08,7.5,7.0,7.25,7.42,7.0,10.0,10.0,10.0,7.33,0.11,0,1.0,Green,0,"February 25th, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,,,
83.0,Arabica,juan luis alvarado romero,Guatemala,nueva granada,,tradicional,11/326/19,"agricola nueva granada, s.a.",4500 pies,"el tumbador, san marcos","Agricola Nueva Granada, S. A.",200,69 kg,Asociacion Nacional Del Café,2015,"June 5th, 2015",Juan Luis Alvarado Romero,Catuai,Washed / Wet,7.75,7.67,7.33,7.75,7.5,7.42,10.0,10.0,10.0,7.58,0.11,0,0.0,Green,2,"June 4th, 2016",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1371.6,1371.6,1371.6
78.0,Arabica,samuel eli gurel,China,hani,,hani,na,greenhouse coffee china,1200 meters,yunnan,GreenHouse Coffee,16,2 kg,Specialty Coffee Association,2013,"September 5th, 2013",Samuel Eli Gurel,Typica,Washed / Wet,7.33,7.17,6.92,7.08,7.33,7.0,9.33,9.33,9.33,7.17,0.1,0,0.0,Green,28,"September 5th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200.0,1200.0,1200.0
